# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FXX      = Hoogste windstoot (in 0.1 m/s); 
# 
  STN,YYYYMMDD,FXX
  240,20181001,  160
  240,20181002,  150
  240,20181003,  100
  240,20181004,  100
  240,20181005,   70
  240,20181006,  150
  240,20181007,  110
  240,20181008,  100
  240,20181009,   80
  240,20181010,   80
  240,20181011,  100
  240,20181012,  120
  240,20181013,  100
  240,20181014,  130
  240,20181015,   80
  240,20181016,   50
  240,20181017,   70
  240,20181018,   90
  240,20181019,   70
  240,20181020,   70
  240,20181021,   80
  240,20181022,  100
  240,20181023,  150
  240,20181024,  150
  240,20181025,   90
  240,20181026,  140
  240,20181027,  100
  240,20181028,  130
  240,20181029,  130
  240,20181030,  170
  240,20181031,  130
  240,20181101,  100
  240,20181102,  120
  240,20181103,   80
  240,20181104,   80
  240,20181105,   80
  240,20181106,   80
  240,20181107,  130
  240,20181108,  100
  240,20181109,  100
  240,20181110,  140
  240,20181111,  140
  240,20181112,   90
  240,20181113,  150
  240,20181114,   80
  240,20181115,   60
  240,20181116,   80
  240,20181117,  100
  240,20181118,  120
  240,20181119,  150
  240,20181120,  180
  240,20181121,  110
  240,20181122,   80
  240,20181123,   60
  240,20181124,  100
  240,20181125,  100
  240,20181126,  100
  240,20181127,   90
  240,20181128,  130
  240,20181129,  140
  240,20181130,  120
  240,20181201,  130
  240,20181202,  150
  240,20181203,  170
  240,20181204,  100
  240,20181205,  110
  240,20181206,  150
  240,20181207,  190
  240,20181208,  210
  240,20181209,  200
  240,20181210,  170
  240,20181211,   90
  240,20181212,   80
  240,20181213,  110
  240,20181214,   70
  240,20181215,  170
  240,20181216,  130
  240,20181217,  100
  240,20181218,  130
  240,20181219,  120
  240,20181220,  130
  240,20181221,  220
  240,20181222,  160
  240,20181223,   70
  240,20181224,   90
  240,20181225,   90
  240,20181226,   70
  240,20181227,   40
  240,20181228,   60
  240,20181229,  170
  240,20181230,  120
  240,20181231,  110
  240,20190101,  180
