Title,Rating,Year,Actors,Runtime
Up,8.3,2009,"('Joan Cusack', 'Ned Beatty', 'Uddika Premarathna', 'Dilhani Ekanayake')",96 min
Toy Story 3,8.3,2010,"('Roshan Ravindra', 'Menaka Peiris', 'Ozan Agaç', 'Bedii Akin')",103 min
Aloko Udapadi,9.6,2017,"('Murat Arkin', 'Eylül Arular', 'Chanchal Chowdhury', 'Masuma Rahman Nabila')",113 min
Dag II,9.3,2016,"('Bijori Barkatullah', 'Partho Barua', 'Donavon Warren', 'Patrick Hume')",135 min
Aynabaji,9.3,2016,"('Diana Gettinger', 'Kevin McCorkle', 'Christian Bale', 'Heath Ledger')",147 min
Wheels,9.3,2014,"('Aaron Eckhart', 'Michael Caine', 'Çetin Tekindor', 'Ismail Hacioglu')",115 min
The Dark Knight,9.0,2008,"('Kyung-jin Lee', 'Kim Seol', 'Madhavan', 'Vijay Sethupathi')",152 min
Ayla: The Daughter of War,8.8,2017,"('Varalaxmi Sarathkumar', 'Shraddha Srinath', 'Aditi Balan', 'Padmashri Mohammad Ali')",125 min
Vikram Vedha,8.8,2017,"('Pradeep Anthony', 'Arnold', 'Mohanlal', 'Meena')",147 min
Aruvi,8.8,2016,"('Ansiba', 'Esther', 'Ramin Karimloo', 'Sierra Boggess')",130 min
Drishyam,8.8,2013,"('Hadley Fraser', 'Wendy Ferguson', 'Leonardo DiCaprio', 'Joseph Gordon-Levitt')",160 min
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"('Ellen Page', 'Ken Watanabe', 'Matthew McConaughey', 'Anne Hathaway')",137 min
Inception,8.8,2010,"('Jessica Chastain', 'Mackenzie Foy', 'Vijay Deverakonda', 'Shalini Pandey')",148 min
Interstellar,8.6,2014,"('Amit Sharma', 'Rahul Ramakrishna', 'Rahman', 'Prakash Raghavan')",169 min
Arjun Reddy,8.5,2017,"('Sharath Kumar', 'Santhosh Krishna', 'Aamir Khan', 'Sakshi Tanwar')",182 min
